XML File 1,XML File 2,Status,Mutated Class,Mutated Method,Line Number,Mutator,Description,Unique Killing Tests 1,Unique Killing Tests 2,Unique Succeeding Tests 1,Unique Succeeding Tests 2,Flaky Tests
mutations1.xml,mutations5.xml,KILLED,fr.xephi.authme.data.auth.PlayerAuth,getPassword,149,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,replaced return value with null for fr/xephi/authme/data/auth/PlayerAuth::getPassword,,,,"fr.xephi.authme.datasource.MySqlResourceClosingTest.shouldCloseResources[updatePassword](fr.xephi.authme.datasource.MySqlResourceClosingTest), fr.xephi.authme.datasource.PostgreSqlResourceClosingTest.shouldCloseResources[updatePassword](fr.xephi.authme.datasource.PostgreSqlResourceClosingTest), fr.xephi.authme.datasource.SQLiteResourceClosingTest.shouldCloseResources[updatePassword](fr.xephi.authme.datasource.SQLiteResourceClosingTest)"
mutations1.xml,mutations5.xml,KILLED,fr.xephi.authme.util.expiring.ExpiringMap,<init>,37,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,removed call to fr/xephi/authme/util/expiring/ExpiringMap::setExpiration,"fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest.shouldVerifyCodeSuccessfully(fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest), fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest.shouldGenerateAndRetrieveCode(fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest), fr.xephi.authme.service.PasswordRecoveryServiceTest.shouldRemovePlayerFromSuccessfulRecovers(fr.xephi.authme.service.PasswordRecoveryServiceTest), fr.xephi.authme.util.expiring.ExpiringMapTest.shouldReturnIfIsEmpty(fr.xephi.authme.util.expiring.ExpiringMapTest)","fr.xephi.authme.security.totp.GenerateTotpServiceTest.shouldCheckGeneratedTotpKey(fr.xephi.authme.security.totp.GenerateTotpServiceTest), fr.xephi.authme.util.expiring.ExpiringMapTest.shouldRemoveEntry(fr.xephi.authme.util.expiring.ExpiringMapTest), fr.xephi.authme.util.expiring.TimedCounterTest.shouldDecrementCount(fr.xephi.authme.util.expiring.TimedCounterTest)","fr.xephi.authme.security.totp.GenerateTotpServiceTest.shouldCheckGeneratedTotpKey(fr.xephi.authme.security.totp.GenerateTotpServiceTest), fr.xephi.authme.util.expiring.ExpiringMapTest.shouldRemoveEntry(fr.xephi.authme.util.expiring.ExpiringMapTest), fr.xephi.authme.util.expiring.TimedCounterTest.shouldDecrementCount(fr.xephi.authme.util.expiring.TimedCounterTest)","fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest.shouldVerifyCodeSuccessfully(fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest), fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest.shouldGenerateAndRetrieveCode(fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest), fr.xephi.authme.service.PasswordRecoveryServiceTest.shouldRemovePlayerFromSuccessfulRecovers(fr.xephi.authme.service.PasswordRecoveryServiceTest), fr.xephi.authme.util.expiring.ExpiringMapTest.shouldReturnIfIsEmpty(fr.xephi.authme.util.expiring.ExpiringMapTest)"
mutations1.xml,mutations5.xml,KILLED,fr.xephi.authme.permission.PermissionsSystemType,getPluginName,64,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,"replaced return value with """" for fr/xephi/authme/permission/PermissionsSystemType::getPluginName",,fr.xephi.authme.permission.PermissionsManagerInitializationTest.shouldInitializeHandler[zPermissions](fr.xephi.authme.permission.PermissionsManagerInitializationTest),fr.xephi.authme.permission.PermissionsManagerInitializationTest.shouldInitializeHandler[zPermissions](fr.xephi.authme.permission.PermissionsManagerInitializationTest),
mutations1.xml,mutations5.xml,KILLED,fr.xephi.authme.output.LogLevel,includes,36,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,replaced boolean return with true for fr/xephi/authme/output/LogLevel::includes,,"fr.xephi.authme.service.TeleportationServiceTest.shouldTeleportWithLimboPlayerIfSaveQuitLocIsDisabled(fr.xephi.authme.service.TeleportationServiceTest), fr.xephi.authme.service.TeleportationServiceTest.shouldTeleportWithLimboPlayerIfAuthYCoordIsNotSet(fr.xephi.authme.service.TeleportationServiceTest)","fr.xephi.authme.service.TeleportationServiceTest.shouldTeleportWithLimboPlayerIfSaveQuitLocIsDisabled(fr.xephi.authme.service.TeleportationServiceTest), fr.xephi.authme.service.TeleportationServiceTest.shouldTeleportWithLimboPlayerIfAuthYCoordIsNotSet(fr.xephi.authme.service.TeleportationServiceTest)",
mutations1.xml,mutations6.xml,KILLED,fr.xephi.authme.util.expiring.ExpiringMap,<init>,37,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,removed call to fr/xephi/authme/util/expiring/ExpiringMap::setExpiration,"fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest.shouldVerifyCodeSuccessfully(fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest), fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest.shouldGenerateAndRetrieveCode(fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest)",fr.xephi.authme.data.TempbanManagerTest.shouldIncreaseAndResetCount(fr.xephi.authme.data.TempbanManagerTest),fr.xephi.authme.data.TempbanManagerTest.shouldIncreaseAndResetCount(fr.xephi.authme.data.TempbanManagerTest),"fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest.shouldVerifyCodeSuccessfully(fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest), fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest.shouldGenerateAndRetrieveCode(fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest)"
mutations1.xml,mutations7.xml,KILLED,fr.xephi.authme.ConsoleLogger,info,131,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,removed call to fr/xephi/authme/ConsoleLogger::writeLog,,fr.xephi.authme.data.limbo.persistence.DistributedFilesPersistenceHandlerTest,,
mutations1.xml,mutations7.xml,KILLED,fr.xephi.authme.util.expiring.ExpiringMap,<init>,37,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,removed call to fr/xephi/authme/util/expiring/ExpiringMap::setExpiration,"fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest.shouldVerifyCodeSuccessfully(fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest), fr.xephi.authme.service.PasswordRecoveryServiceTest.shouldRemovePlayerFromSuccessfulRecovers(fr.xephi.authme.service.PasswordRecoveryServiceTest)",fr.xephi.authme.util.expiring.ExpiringMapTest.shouldUpdateExpirationAndSupportNegativeValues(fr.xephi.authme.util.expiring.ExpiringMapTest),fr.xephi.authme.util.expiring.ExpiringMapTest.shouldUpdateExpirationAndSupportNegativeValues(fr.xephi.authme.util.expiring.ExpiringMapTest),"fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest.shouldVerifyCodeSuccessfully(fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest), fr.xephi.authme.service.PasswordRecoveryServiceTest.shouldRemovePlayerFromSuccessfulRecovers(fr.xephi.authme.service.PasswordRecoveryServiceTest)"
mutations1.xml,mutations7.xml,KILLED,fr.xephi.authme.output.LogLevel,includes,36,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,replaced boolean return with true for fr/xephi/authme/output/LogLevel::includes,"fr.xephi.authme.data.limbo.WalkFlySpeedRestoreTypeTest.shouldRestoreToExpectedValue[MAX_RESTORE {0.4, 0.4}](fr.xephi.authme.data.limbo.WalkFlySpeedRestoreTypeTest)","fr.xephi.authme.service.TeleportationServiceTest.shouldTeleportWithLimboPlayerIfSaveQuitLocIsDisabled(fr.xephi.authme.service.TeleportationServiceTest), fr.xephi.authme.service.TeleportationServiceTest.shouldTeleportWithLimboPlayerIfAuthYCoordIsNotSet(fr.xephi.authme.service.TeleportationServiceTest)","fr.xephi.authme.service.TeleportationServiceTest.shouldTeleportWithLimboPlayerIfSaveQuitLocIsDisabled(fr.xephi.authme.service.TeleportationServiceTest), fr.xephi.authme.service.TeleportationServiceTest.shouldTeleportWithLimboPlayerIfAuthYCoordIsNotSet(fr.xephi.authme.service.TeleportationServiceTest)","fr.xephi.authme.data.limbo.WalkFlySpeedRestoreTypeTest.shouldRestoreToExpectedValue[MAX_RESTORE {0.4, 0.4}](fr.xephi.authme.data.limbo.WalkFlySpeedRestoreTypeTest)"
mutations1.xml,mutations8.xml,KILLED,fr.xephi.authme.data.auth.PlayerAuth,getPassword,149,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,replaced return value with null for fr/xephi/authme/data/auth/PlayerAuth::getPassword,,,,"fr.xephi.authme.datasource.MySqlResourceClosingTest.shouldCloseResources[updatePassword](fr.xephi.authme.datasource.MySqlResourceClosingTest), fr.xephi.authme.datasource.PostgreSqlResourceClosingTest.shouldCloseResources[updatePassword](fr.xephi.authme.datasource.PostgreSqlResourceClosingTest), fr.xephi.authme.datasource.SQLiteResourceClosingTest.shouldCloseResources[updatePassword](fr.xephi.authme.datasource.SQLiteResourceClosingTest)"
mutations1.xml,mutations8.xml,KILLED,fr.xephi.authme.util.expiring.ExpiringMap,<init>,37,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,removed call to fr/xephi/authme/util/expiring/ExpiringMap::setExpiration,"fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest.shouldVerifyCodeSuccessfully(fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest), fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest.shouldGenerateAndRetrieveCode(fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest), fr.xephi.authme.service.PasswordRecoveryServiceTest.shouldRemovePlayerFromSuccessfulRecovers(fr.xephi.authme.service.PasswordRecoveryServiceTest)",,,"fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest.shouldVerifyCodeSuccessfully(fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest), fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest.shouldGenerateAndRetrieveCode(fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest), fr.xephi.authme.service.PasswordRecoveryServiceTest.shouldRemovePlayerFromSuccessfulRecovers(fr.xephi.authme.service.PasswordRecoveryServiceTest)"
